College Code,College Name,District,Pincode
3923,M N S K College of Engineering Vallathirakkottai Post,Pudukkottai District,622305
2713,M P Nachimuthu M Jaganathan Engineering College Chennimalai Erode,Erode District,638112
3843,M R K Institute of Technology Nattarmangalam Village Kattumannarkoil,Cuddalore District,608306
3829,M.A.M. College of Engineering and Technology Trichy-Chennai Trunk Road,Tiruchirappalli District,621105
3810,M.A.M. College of Engineering Siruganur,Tiruchirappalli District,621105
3783,- M.A.M. School of Architecture Trichy-Chennai Trunk Road Siruganur,Tiruchirappalli District,621105
3786,M.A.M. School of Engineering Siruganur,Tiruchirappalli District,621105
1411,Madha Engineering College Kundrathur Chennai,Chennai  77 District,600069
1243,Madha Institute of Engineering and Technology Erandamkattalai Village,Erandamkattalai Village District,602101
1430,Maha Bharathi Engineering College A Vasudevanur Chinnasalem Kallakurichi,Kallakurichi District,606201
4998,MahakaviBharathiyar College of Engineering and Technology Vasudevanallur,Tenkasi District,627758
3403,Mahalakshmi Engineering College Trichy-Salem Highways Near No.,Tiruchirappalli District,621213
3854,Mahath Amma Institute of Engineering and Technology MIET Ariyur,Pudukkottai District,622101
2623,Mahendra College of Engineering Attur Road Minnampalli Valapady Salem,Salem District,636106
2609,Mahendra Engineering College Autonomous Mahendhirapuri,Namakkal District,637503
2638,Mahendra Engineering College for Women Kumaramangalam Namakkal,Namakkal District,637205
2665,Mahendra Institute of Engineering and Technology Mahendrapuri,Namakkal District,637503
2632,Mahendra Institute of Technology Autonomous Mahendhirapuri,Namakkal District,637503
1412,Mailam Engineering College Mailam,Villupuram District,604304
5536,Mangayarkarasi College of Engineering First Street Mangayarkarasi Nagar,Madurai District,625402
4928,MAR Ephraem College of Engineering & Technology Malankara Hills,Kanyakumari District,629171
1130,- MARG Instiute of Design & Architecture Swarnabhoomi MIDAS Marg,Chengalpattu District,603302
4927,Maria College of Engineering and Technology AttoorPuliyamoodu Junction,Kanyakumari District,629177
4984,Marthandam College of Engineering & Technology Kuttakuzhi Veeyanoor,Kanyakumari District,629177
3857,Meenakshi Ramaswamy Engineering College Trichy Main Road Thathanur,Ariyalur District,621804
1309,Meenakshi Sundararajan Engineering College Kodambakkam Chennai,Chennai  57 District,600024
4960,Mepco Schlenk Engineering College Autonomous Sivakasi Virudhunagar,Virudhunagar District,626005
1310,MisrimalNavajeeMunoth Jain Engineering College Rajiv Gandhi Salai OMR,Rajiv Gandhi Salai (OMR) District,600096
1146,MisrimalNavajeeMunoth Jain School of Architecture Rajiv Gandhi Salai OMR,Rajiv Gandhi Salai (OMR) District,600096
1147,- MMES Academy of Architecture C.Abdul Hakeem College Campus Hakeem,Ranipet District,632509
1400,Mohamed Sathak A.J. Academy of Architecture No. Old Mahabalipuram,Chengalpattu District,603103
5907,Mohamed Sathak Engineering College Kilakarai,Ramanathapuram District,623806
1301,Mohammed Sathak A J College of Engineering Old Mahabalipuram Road,Chengalpattu District,603103
3812,Mookambigai College of Engineering Keeranur,Pudukkottai District,622502
3846,Mother Terasa College of Engineering and Technology Mettusalai Post and,Pudukkottai District,622102
3908,Mount Zion College of Engineering and Technology Pilivalam Post Pudukkottai,Pudukkottai District,622507
2314,Muthayammal College of Engineering Kakkaveri Post,Namakkal District,637408
2610,Muthayammal Engineering College Autonomous Rasipuram Namakkal,Namakkal District,637408
5832,N P R College of Engineering and Technology Autonomous Natham Dindigul,Dindigul District,624401
2327,N S N College of Engineering and Technology Karur-Madurai NH7,Karur District,639003
5865,Nadar Saraswathi College of Engineering and Technology Vadupudupatti,Theni District,625531
2752,Nandha College of Technology Pitchandampalayam Post,Erode District,638052
2715,Nandha Engineering College Autonomous Pitchandampalayam Post Erode,Erode District,638052
2639,Narasu'sSarathy Institute of Technology Poosaripatty Village Omalur Taluk,Salem District,636305
4977,Narayanaguru College of Engineering Manjalumoodu,Kanyakumari District,629151
4962,National Engineering College Autonomous Kovilpatti,Thoothukudi District,628503
2729,Nehru Institute of Engineering and Technology Thirumalayampalayam Post,Coimbatore District,641105
2755,Nehru Institute of Technology Autonomous Thirumalayampalayam Post,Coimbatore District,641105
2365,- Nehru School of Architecture No.-D Palakkad Main Road Kuniamuthur,Coimbatore District,641008
4961,Nellai College of Engineering Formerly National College of Engineering,Tirunelveli District,627151
3466,Nelliandavar Institute of Technology Nerunjikorai Village Pudhupalayam,Ariyalur District,621704
1431,New Prince Shri Bhavani College of Engineering and Technology Autonomous,92 New Prince Shri Bhavani College of Engineering and Technology(Autonomous) District,600073
3782,OASYS Institute of Technology Pulivalam Village Musiri Taluk Tiruchirappalli,Tiruchirappalli District,621006
1529,Oxford College of Engineering Venmani Village Karaipoondi Post Polur Taluk,Thiruvannamalai District,606803
1222,P B College of Engineering Irungkattukottai Sriperumpudur Taluk,Kancheepuram District,602117
2612,P G P College of Engineering and Technology Paramathi Post Namakkal,Namakkal District,637207
3814,P R Engineering College Vallam,Thanjavur District,613403
5910,P S N A Colllege of Engineering and Technology,Dindigul District,624622
4965,P S R Engineering College Autonomous Appayanaickenpatti Sevalpatty,Virudhunagar District,626140
2642,P S V College of Engineeering and Technology Mittapalli Balinayanapalli Post,Krishnagiri District,635108
4995,P.S.R.R College of Engineering Appayanaickenpatti Sevalpatti Virudhunagar,Virudhunagar District,626140
2628,Paavai College of Engineering Autonomous NH- Pachal Post Namakkal,Namakkal District,637018
2611,Paavai Engineering College Autonomous NH- Pachal Post Namakkal,Namakkal District,637018
1209,Pallavan College of Engineering Thimmasamudram,Kancheepuram District,631502
1533,- Panimalar Engineering College Chennai City Campus No. Railway Colony,Railway Colony District,600029
3833,Parisutham Institute of Technology and Science Ring Road Nanjikottai,Thanjavur District,613006
2716,Park College of Engineering and Technology Kaniyur,Coimbatore District,641659
3815,Pavendar Bharathidasan College of Engineering and Technology Pudukkottai,Tiruchirappalli District,622515
1452,PERI Institute of Technology Mannivakkam West Tambaram Chennai,Chennai  104 District,600048
4966,PET Engineering College Vallioor Post,Tirunelveli District,627117
1125,PMR Engineering College Adayalampattu Chennai- -,Chennai- - District,600095
1525,Podhigai College of Engineering and Technology Vinayakapuram Adiyur Post,Tirupattur District,635601
2354,Pollachi Institute of Engineering and Technology Main Road Poosaripatti,Coimbatore District,642205
4981,Ponjesly College of Engineering Vettornimadam Post Nagercoil Kanyakumari,Kanyakumari District,629003
2753,PPG Institute of Technology Vilankurichi Village,Coimbatore District,641035
1110,Prathyusha Engineering college Autonomous Aranvoyalkuppam Thiruvallur,Thiruvallur District,602025
3446,Prime College of Architecture and Planning Main Road Kilvelur Nagapattinam,Nagapattinam District,611104
3467,Prime Nest College of Architecture and Planning V.J.P. Campus Trichy-Chennai,Tiruchirappalli District,621105
1442,Prince Dr. K Vasudevan College of Engineering and Technology Medavakkam-,Medavakkam- District,600127
1414,Prince Shri Venkateshwara Padmavathy Engineering College Autonomous,80 Prince Shri Venkateshwara Padmavathy Engineering College(Autonomous) District,600048
1510,Priyadarshini Engineering College Vaniyambadi Post,Thiruppattur District,635751
2006,PSG College of Technology Autonomous Peelamedu,Coimbatore District,641004
2377,PSG Institute of Technology and Applied Research Avinashi Road Neelambur,Neelambur District,641062
4989,PSN Engineering College Melathediyoor,Tirunelveli District,627152
1128,R M K College of Engineering and Technology Autonomous Puduvoyal,Thiruvallur District,601206
1113,R M K Engineering College Autonomous Kavaraipettai Gummidipoondi,Thiruvallur District,601206
2731,R V S College of Engineering and Technology Kannampalayam Sulur,Coimbatore District,641402
5913,R V S College of Engineering N Paraipatti Post,Dindigul District,624005
5862,R V S Educational Trust’s Groups of Institutions Integrated Campus N,Dindigul District,624005
5863,Architecture RVS Nagar Karur Road N Paraipatti Post Vedasandur Taluk R V S Educational Trust's Group of Institutions foremerly R V S School of,Dindigul District,624005
1144,Roshanagaram Post Madarapakkam Via Gummidipoondi Taluk Thiruvallur R V S Padmavathy School of Architecture Senthil Pakkam Village,Senthil Pakkam Village District,601202
2778,-,Coimbatore District,641402
1211,Rajalakshmi Engineering College Autonomous Thandalam Sriperumpudur,Kancheepuram District,602105
1432,Rajalakshmi Institute of Technology Irulapalayam Autonomous,Kancheepuram District,600124
1132,- Rajalakshmi School of Architecture Thandalam Sriperumpudur Taluk,Kancheepuram District,602105
4948,Rajas Institute of Technology Ozhuginasery Nagercoil,Kanyakumari District,629001
1212,Rajiv Gandhi College of Engineering Nemili Sriperumpudur Taluk,Kancheepuram District,602105
4678,Ramco Institute of Technology North venganallur Village Krishnapuram,Virudhunagar District,626117
2779,Ranganathan Architecture College REC Kalvi Nagar Viraliyur Post,Coimbatore District,641109
1511,Ranipettai Engineering College Thenkadappanthangal,Ranipet District,632513
2376,Rathinam School of Architecture RathinamTechzone campus Pollachi Road,Pollachi Road District,641021
2329,Rathinam Technical Campus Autonomous Pollachi Road Eachanari,Coimbatore District,641021
4676,RenganayagiVaratharaj College of Engineering Salvarpatti Sivakasi,Virudhunagar District,626128
3817,Roever Engineering College Elambalur,Perambalur District,621212
4670,Rohini College of Engineering & Technology Anjugramam-Kanyakumari Main,Kanyakumari District,629401
1437,Rrase College of Engineering Padappai Kancheepuram,Kancheepuram  96 District,601301
1114,S A Engineering College Autonomous Thiruverkadu Chennai,Chennai  15 District,600077
1512,S K P Engineering College,Thiruvannamalai District,606611
1213,S K R Engineering College Poonamallee Chennai,Chennai  36 District,600123
2614,S S M College of Engineering Komarapalayam,Namakkal District,638183
4967,S VeerasamyChettiar College of Engineering and Technology Puliangudi Post,Tenkasi District,627855
5915,SACS-M A V M M Engineering College Kidaripatty Post,Madurai District,625301
2659,- Salem College of Engineering and Technology Salem-Attur Main Road NH-,Salem District,636111
1124,SAMS College of Engineering and Technology Panappakkam Chennai-,Thiruvallur District,601102
2348,San Academy of Architecture ACC Pirivu Navakarai Post Walayar Coimbatore,Coimbatore District,641105
2616,Sapthagiri College of Engineering Periyanahalli Post,Dharmapuri District,635205
3819,Saranathan College of Engineering Panjappur,Tiruchirappalli District,620012
1449,Saraswathy College of Engineering and Technology NH- Main Road,Villupuram District,604307
4968,Sardar Raja College of Engineering Alangulam,Tenkasi District,627808
2361,Sasi Creative School of Archiecture No./2B Roja Raja Garden Pollachi,Coimbatore District,641032
2717,Sasurie College of Engineering Vijayamangalam,Tiruppur District,638056
4943,- Satyam College of Engineering and Technology Satyam Nagar Aralvoimozhi,Aralvoimozhi District,629301
1216,Saveetha Engineering College Autonomous Thandalam Sriperumpudur,Kancheepuram District,602105
5930,SBM College of Engineering and Technology Thamaraipady T N,Dindigul District,624005
4969,SCAD College of Engineering and Technology Cheranmahadevi Tirunelveli,Tirunelveli District,627414
3,School of Architecture and Planning Anna University Chennai,Chennai  433 District,600025
2364,VellimalaiPattinam Narasipuram Post Thondamuthur Via School of Architecture Coimbatore Institute of Engineering and Technology,Coimbatore District,641109
2627,Selvam College of Technology Pappanaickenpatti Post,Namakkal District,637003
3859,Sembodai Rukmani Varadharajan Engineering College Sembodhai Village,Sembodhai Village District,614820
2617,Sengunthar Engineering College Autonomous Tiruchengode Namakkal,Namakkal District,637205
4917,Sethu Institute of Technology Autonomous Kariapatti Post Virudhunagar,Virudhunagar District,626115
3918,Shanmuganathan Engineering College Pillivalam Post,Pudukkottai District,622507
3844,Shivani Engineering College Trichy-Dindigul NH Road Poolangulathupatti,Poolangulathupatti District,620009
1313,- Shree Motilal Kanhaiyalal SMK Fomra Institute of Technology Old,Chengalpattu District,603103
2346,- Shree Sathyam College of Engineering and Technology NH- Manjakkalpatti,Salem District,637301
2747,Shree Venkateshwara Hi-Tech Engineering College Autonomous,Erode District,638455
2683,Shreenivasa Engineering College B Pallipatti Bommidi Pappireddipatti Taluk,Dharmapuri District,635301
3802,Shri Angalamman College of Engineering and Technology Siruganoor,Siruganoor District,621105
4671,Sigma College of Architecture Moododu Anucode Post Marthandam,Kanyakumari District,629168
3760,Sir Issac Newton College of Engineering and Technology Anthanapeetai Post,Nagappattinam District,611102
4938,Sivaji College of Engineering and Technology ManivillaPalulai Panchayat,Kanyakumari District,629171
2734,SNS College of Engineering Autonomous Sathy Main Road Kurumbapalayam,Coimbatore District,641107
2726,SNS College of Technology Autonomous Kalappatti Post,Coimbatore District,641035
5914,Solamalai College of Engineering Veerapanjan,Madurai District,625020
2618,- Sona College of Technology Autonomous Suramangalam Post,Salem District,636005
1438,Sree Krishna College of Engineering Anaicut Post Unnai Village,Vellore District,632101
2673,Sree Sakthi Engineering College Bettathapuram Bilichi Village Karamadai,Coimbatore District,641104
1217,Sree Sastha Institute of Engineering and Technology Chembarambakkam,Chembarambakkam District,600103
4970,Sree Sowdambika College of Engineering Aruppukkottai Taluk Virudhunagar,Virudhunagar District,626134
2767,SRG Engineering College Aniyapuram Post,Namakkal District,637017
1513,Sri Balaji Chockalingam Engineering College Arni,Thiruvannamalai District,632317
3852,Sri Bharathi Engineering College for Women Kaikkuruchi Village Alangudi,Pudukkottai District,622303
2739,Sri Eshwar College of Engineering Autonomous Kondampatti Post,Coimbatore District,641202
1150,Sri Jayaram Institute of Engineering and Technology N Elavur 58N,Thiruvallur District,601201
1526,Sri Krishna College of Engineering Tiruttani High Road Arakkonam Ranipet,Ranipet District,631003
2718,Sri Krishna College of Enginering and Technology Autonomous Kuniamuthur,Coimbatore District,641008
2722,Sri Krishna College of Technology Autonomous Kovaipudur Post Coimbatore,Coimbatore District,641042
1427,Sri Krishna Engineering College Panappakkam Padappai Chennai,Chennai  90 District,601301
1335,Sri Krishna Institute of Technology Panapakkam Padappai Chennai,Chennai  69 District,601301
1218,Sri Muthukumaran Institute of Technology Near Mangadu Chennai,Chennai  39 District,600069
5502,Sri Raajaraajan College of Engineering & Technology Amaravathi Village,Sivagangai District,630301
2719,Sri Ramakrishna Engineering College Autonomous Vattamalaipalayam,Coimbatore District,641022
2725,Sri Ramakrishna Institute of Technology Autonomous Pachapalayam,Coimbatore District,641010
1426,Sri Ramanujar Engineering College Vandalur Kolappakkam Chennai,Chennai  89 District,600127
2342,Sri Ranganathar Institute of Engineering and Technology Thudialur-Kovilpalay,Coimbatore District,641110
1445,Sri Rangapoopathi College of Engineering Alampoondi Village Gingee,Villupuram District,604151
1419,Sri Sai Ram Enginering College Autonomous West Tambaram Chennai,Chennai District,600044
1324,Sri Sai Ram Institute of Technology Autonomous West Tambaram Chennai,Chennai District,600044
2737,Sri Sai Ranganathan Engineering College Zahirnaickenpalayam Village Viraliyur,Coimbatore District,641109
2727,Sri Shakthi Institute of Engineering and Technology Autonomous L&T Bye-,Comibatore District,641062
2302,Sri Shanmugha College of Engineering and Technology Morur Bit II Village,Salem District,637304
1315,Sri Sivasubramaniya Nadar College of Engineering Autonomous Kalavakkam,Chengalpattu District,603110
5720,- Sri Subramanya College of Engineering and Technology Sukkamanaickanpatti,Dindigul District,624615
1219,Chennai-Bengaluru High Road Pennalur Irungattukottai S.O. Sriperumbudur Sri Venkateswara College of Engineering Autonomous Post Bag No.,Kancheepuram District,602105
1116,Sri Venkateswara College of Engineering and Technology Thirupachur,Thiruvallur District,631203
1121,Sri Venkateswara Institute of Science and Technology Kozhundalur Thiruvallur,Thiruvallur District,631203
1413,Sri Venkateswaraa College of Technology Sirukulathur Vadakkal Village,Kancheepuram District,602105
4996,Sri Vidya College of Engineering and Technology Sivakasi Main Road P,Virudhunagar District,626005
3795,SRM TRP Engineering College Irungalur Manachanallur Taluk Tiruchirappalli,Tiruchirappalli District,621105
1422,SRM Valliammai Engineering College Autonomous Kattankulathur Chennai,Chennai District,603203
5530,SSM Institute of Engineering and Technology Kuttathupatti Village,Dindigul District,624002
3860,St. Anne's College of Engineering and Technology Anguchettypalayam,Cuddalore District,607110
1325,St. Joseph College of Engineering Trinity Campus Nemili Sriperumpudur,Kancheepuram District,602105
1149,St. Josephs Institute of Technology Autonomous Jeppiaar Nagar Old,Old District,600119
5919,St. Michael College of Engineering and Technology Kalayarkoil Sivagangai,Sivagangai District,630551
4933,St. Mother Theresa Engineering College Vagaikulam,Thoothukudi District,628102
3766,Star Lion College of Engineering and Technology Manankorai Main Road,Thanjavur District,614206
4672,Stella Mary's College of Engineering ArunthenganVilai Azhikal Post,Kanyakumari District,629202
2360,Suguna College of Engineering Kalappatti Road Civil Aerodrome Post,Coimbatore District,641014
4925,- Sun College of Engineering and Technology Ammandivilai& Post Kanyakumari,Kanyakumari District,629204
3460,Surya College of Engineering Konalai,Tiruchirappalli District,621132
2748,Surya Engineering College Mettukadai Kathirampatti Post,Erode District,638107
1434,Surya Group of Institutions GST Road Vikravandi Village,Villupuram District,605652
5921,Syed Ammal Engineering College AchuthanVayal Post Ramanathapuram,Ramanathapuram District,623502
1241,T J S Engineering College Peruvoyal Near Kavaraipettai Gummidipoondi,Thiruvallur District,601206
1415,T S M Jain College of Technology Melur Village,Kallakurichi District,606201
1318,T.J Institute of Technology Karapakkam Chennai -,63 District,600097
1420,Tagore Engineering College Rathnamangalam Vandalur Post Chennai,Chennai  84 District,600048
2646,Tagore Institute of Engineering and Technology Deviyakurichi Attur Taluk,Salem District,636112
2721,Tamilnadu College of Engineering Karumathampatti Post,Coimbatore District,641659
2728,Tamilnadu School of Architecture Tamilnadu College of Engineering Campus,Coimbatore District,641659
4669,Thamirabharani Engineering College Chathirampudukulam Village,Tirunelveli District,627358
1319,Thangavelu Engineering College Karappakkam Chennai,Chennai  64 District,600097
1516,ThanthaiPeriyar Government Institute of Technology Bagayam,Vellore District,632002
2625,The Kavery Engineering College M Kalipatti Post Mecheri,Salem District,634456
5988,Theni Kammavar Sangam College of Technology Theni Main Road,Theni District,625534
5008,Thiagarajar College of Engineering Autonomous Tirupparankundram,Madurai District,625015
1517,Thirumalai Engineering College Kilambi,Kancheepuram District,631551
1518,Thiruvalluvar College of Engineering and Technology Vandavasi,Thiruvannamalai District,604505
3820,Trichy Engineering College Konalai,Tiruchirappalli District,621132
4978,Udaya School of Engineering Ammandivilai Post,Kanyakumari District,629204
5942,Ultra College of Engineering and Technology Kodikulam Bit Village Madurai-,Madurai District,625104
2761,United Institute of Technology Gadalore Village Perianaickenpalayam,Coimbatore District,641020
4675,Universal College of Engineering and Technology Anbagam Campus,Tirunelveli District,627117
3016,University College of Engineering Ariyalur Kathankudikadu Village Thelur,Ariyalur District,621704
1015,University College of Engineering Arni Arni to Devikapuram Road Thatchur,Thiruvannamalai District,632326
5022,University College of Engineering Dindigul MangaraiPirivu,Dindigul District,624622
1026,Chennai-Bangalore Highway Karaipettai Village & Post University College of Engineering Kancheepuram Ponnerikarai Campus NH4,Kancheepuram District,631552
4023,University College of Engineering Nagercoil Nagercoil Industrial Estate,Kanyakumari District,629004
3019,University College of Engineering Panruti Chennai-Kumbakonam Highway,Cuddalore District,607106
3021,University College of Engineering Pattukkottai ECR Road Rajamadam,Thanjavur District,614701
5017,University College of Engineering Ramanathapuram Pullangudi,Ramanathapuram District,623513
3018,- University College of Engineering Thirukkuvalai,Nagappattinam District,610204
1014,University College of Engineering Tindivanam Melpakkam Tindivanam,Villupuram District,604001
3011,University College of Engineering Tiruchirappalli Bharathidasan Institute of,Tiruchirappalli District,620024
1013,University College of Engineering Villupuram Kakuppam,Villupuram District,605103
4941,Unnamalai Institute of Technology Ayyaneri Kovilpatti,Thoothukudi District,628502
1421,V R S College of Engineering and Technology Arasur,Villupuram District,607107
2658,V S A Group of Institutions NH- Uthamasola Puram Post,Salem District,636010
2357,V S B College of Engineering Technical Campus EalurPirivu Solavampalayam,Coimbatore District,642109
2622,V S B Engineering College Autonomous Kovai Road,Karur District,639111
4864,V V College of Engineering Arasoor Village Idaichivilai Post Santhakulam,Thoothukudi District,628656
4679,V.P.M.M. College of Architecture For,Virudhunagar District,626190
5532,Vaigai College of Engineering Therkutheru Melur Taluk,Madurai District,625122
3848,- Vandayar Engineering College Pulavarnatham Post Mariamman Koil Via,Thanjavur District,613001
2641,VaruvanVadivelan Institute of Technology Nallanahalli,Dharmapuri District,636701
5851,Veeramal Engineering College PVP Nagar K. Singrakottai Dindigul-.,Dindigul-. 389 District,624708
5986,Velammal College of Engineering and Technology Autonomous Madurai,Madurai District,625009
1120,Velammal Engineering College Autonomous Ambattur-Redhills Road,Ambattur-Redhills Road District,600066
1237,Velammal Institute of Technology Chennai-Kolkatta Highway Panchetti,Thiruvallur District,601204
3850,VetriVinayaha College of Engineering and Technology Namakkal-Trichy Main,Tiruchirappalli District,621215
1333,- Vi Institute of Technology Sirunkundram Village & Post,Chengalpattu District,603108
2368,- Vishnu Lakshmi College of Engineering and Technology Vellalore Post,Coimbatore District,641111
2620,Sathinaickenpalayam Elayampalayam Village Kumaramangalam Namakkal Vivekanandha College of Engineering for Women Autonomous,Namakkal 164 Vivekanandha College of Engineering for Women (Autonomous) District,637205
2661,Vivekanandha College of Technology for Women Sathinaickenpalayam,Namakkal District,637205
