College Code,College Name,District,Pincode
2005,Government College of Technology Autonomous Thadagam Road Coimbatore,Coimbatore District,641013
2369,Government College of Engineering Chettikkarai Post,Dharmapuri District,635704
2603,Government College of Engineering Autonomous Bargur,Krishnagiri District,635104
2615,Government College of Engineering Autonomous Karuppur,Salem District,636011
3464,Government College of Engineering Gandarvakottai Road Sengipatti Thanjavur,Thanjavur District,613402
3465,Government College of Engineering Srirangam Sethurappatti Tiruchirappalli,Tiruchirappalli District,620012
5009,Government College of Engineering Melachokkanathapuram Bodinayakkanur,Theni District,625582
5901,Alagappa Chettair Government College of Engineering and Technology,Sivagangai District,630004
2006,GOVERNMENT AIDED COLLEGES PSG College of Technology Autonomous Peelamedu,Coimbatore District,641004
2007,Coimbatore Institute of Technology Autonomous Civil Aerodrome Post,Coimbatore District,641014
5008,Thiagarajar College of Engineering Autonomous Tirupparankundram Madurai,Madurai District,625015
1321,CECRI AND CIPET Central Institute of Petrochemicals Engineering and Technology Formerly Central,65 CECRI AND CIPET Central Institute of Petrochemicals Engineering and Technology (Formerly Central District,600032
2343,Indian Institute of Handloom Technology Foulke's Compound Thillai Nagar,Salem District,636001
5012,Central Electrochemical Research Institute CECRI Karaikudi,Sivagangai District,630006
1013,CONSTITUENT COLLEGES University College of Engineering Villupuram Kakuppam,Villupuram District,605103
1014,University College of Engineering Tindivanam Melpakkam Tindivanam,Villupuram District,604001
1015,University College of Engineering Arni Arni to Devikapuram Road Thatchur Arni,Thiruvannamalai District,632326
1026,Chennai-Bangalore Highway Karaipettai Village & Post University College of Engineering Kancheepuram Ponnerikarai Campus NH4,Kancheepuram District,631552
2025,NavavoorBharathiyar University Post Somayampalayam Anna University Regional Campus - Coimbatore Maruthamalai Main Road,Coimbatore District,641046
3011,University College of Engineering Tiruchirappalli Bharathidasan Institute of,Tiruchirappalli District,620024
3016,University College of Engineering Ariyalur Kathankudikadu Village Thelur Post,Ariyalur District,621704
3018,University College of Engineering Thirukkuvalai ,Nagappattinam District,610204
3019,University College of Engineering Panruti Chennai-Kumbakonam Highway,Cuddalore District,607106
3021,University College of Engineering Pattukkottai ECR Road Rajamadam,Thanjavur District,614701
4020,Anna University Regional Campus - Tirunelveli Trivandrum Road Palayamkottai,Tirunelveli District,627007
4023,University College of Engineering Nagercoil Nagercoil Industrial Estate Konam,Kanyakumari District,629004
4024,University V.O.C. College of Engineering Thoothukudi Near V.O.C. College,Thoothukudi District,628008
5010,Anna University Regional Campus - Madurai Kanyakumari National Highway,Madurai District,625019
5017,University College of Engineering Ramanathapuram Pullangudi,Ramanathapuram District,623513
5022,University College of Engineering Dindigul MangaraiPirivu Reddiyarchathiram,Dindigul District,624622
1101,SELF FINANCING ENGINEERING COLLEGES Aalim Muhammed Salegh College of Engineering Muthapudupet Avadi IAF,Avadi IAF District,600055
1106,Jaya Engineering College Thirunindravur Chennai,Chennai  10 District,602024
1107,Jaya Institute of Technology Kanchipadi Post Thiruvallur-TiruttaniNH Road,Thiruvallur District,631204
1110,Prathyusha Engineering college Autonomous Aranvoyalkuppam Thiruvallur,Thiruvallur District,602025
1112,R M D Engineering College Autonomous Kavaraipettai Gummidipoondi,Thiruvallur District,601206
1113,R M K Engineering College Autonomous Kavaraipettai Gummidipoondi,Thiruvallur District,601206
1114,S A Engineering College Autonomous Thiruverkadu Chennai,Chennai  15 District,600077
1121,Sri Venkateswara Institute of Science and Technology Kozhundalur Thiruvallur,Thiruvallur District,631203
1123,Gojan School of Business and Technology Alamathi Chennai,Chennai  21 District,600062
1124,SAMS College of Engineering and Technology Panappakkam Chennai-Tirupathi,Thiruvallur District,601102
1125,PMR Engineering College Adayalampattu Chennai- -,Chennai- - District,600095
1126,J.N.N Institute of Engineering Autonomous Ushaa Garden Kannigaipair Village,Thiruvallur District,601102
1130,MARG Institute of Design & Architecture Swarnabhoomi (MIDAS),Chengalpattu District,603302
1132,- Rajalakshmi School of Architecture Thandalam Sriperumpudur Taluk,Kancheepuram District,602105
1133,AnnaiVeilankannis College of Engineering Gandhi Road Nedungundram Chennai,Chennai District,600048
1135,Aalim Muhammed Salegh Academy of Architecture Muthapudupet Avadi IAF,Avadi IAF District,600055
1138,DaVinci School of Design and Architecture.,Chengalpattu District,600097
1140,Jeppiaar Institute of Technology kunnam,Kancheepuram District,631604
1144,R V S Padmavathy School of Architecture Senthil Pakkam Village Roshanagaram,Thiruvallur District,601202
1145,- Anand School of Architecture Old Mahalibalipuram Road OMR Kazhipattur,Chengalpattu District,603103
1146,MisrimalNavajeeMunoth Jain School of Architecture Rajiv Gandhi Salai OMR,Rajiv Gandhi Salai (OMR) District,600096
1147,- MMES Academy of Architecture C.Abdul Hakeem College Campus Hakeem,Ranipet District,632509
1149,St. Josephs Institute of Technology Autonomous Jeppiaar Nagar Old,Old District,600119
1150,Sri Jayaram Institute of Engineering and Technology N Elavur 58N Natham,Thiruvallur District,601201
1152,Chennai-Thirupathi Highway Near Periyapalayam Amman Temple Chennai,Chennai 414 District,601102
1153,- Jawahar School of Architecture Planning and Design No..K K,No.54.K K District,600093
1202,D M I College of Engineering Palanchoor Nazrethpet Chennai,Chennai  30 District,602103
1207,Kings Engineering College Sriperumpudur Taluk,Kancheepuram District,602105
1209,Pallavan College of Engineering Thimmasamudram,Kancheepuram District,631502
1210,Panimalar Engineering College Autonomous Nazarethpet Poonamallee,Poonamallee District,602123
1211,Rajalakshmi Engineering College Autonomous Thandalam Sriperumpudur,Kancheepuram District,602105
1212,Rajiv Gandhi College of Engineering Nemili Sriperumpudur Taluk Kancheepuram,Kancheepuram District,602105
1213,S K R Engineering College Poonamallee Chennai,Chennai  36 District,600123
1216,Saveetha Engineering College Autonomous Thandalam Sriperumpudur Taluk,Kancheepuram District,602105
1217,Sree Sastha Institute of Engineering and Technology Chembarambakkam,Chembarambakkam District,600103
1218,Sri Muthukumaran Institute of Technology Near Mangadu Chennai,Chennai  39 District,600069
1219,Bengaluru High Road Pennalur Irungattukottai S.O. Sriperumbudur Taluk Sri Venkateswara College of Engineering Autonomous Post Bag No. Chennai-,Kancheepuram District,602105
1221,- Jaya College of Engineering and Technology Parivakkam Poonamallee Chennai,Chennai District,600056
1222,P B College of Engineering Irungkattukottai Sriperumpudur Taluk Kancheepuram,Kancheepuram District,602117
1225,Loyola Institute of Technology Mevaloorkuppam B Village Palanchoor,Palanchoor District,600123
1229,Indira Institute of Engineering and Technology VGR Gardens Pandur Thiruvallur,Thiruvallur District,631203
1230,Apollo Engineering College Mevaloorkuppam Valarpuram Post Sriperumpudur,Kancheepuram District,602105
1232,- A R M College of Engineering and Technology Sattamangalam Maraimalainagar,Chengalpattu District,603209
1233,Adhi College of Engineering and Technology Pazhayaseevaram Madura,Kancheepuram District,631605
1238,G R T Institute of Engineering and Technology GRT Mahalakshmi Nagar Chennai-,Thiruvallur District,631209
1241,T J S Engineering College Peruvoyal Near Kavaraipettai Gummidipoondi Taluk,Thiruvallur District,601206
1243,Madha Institute of Engineering and Technology Erandamkattalai Village,Erandamkattalai Village District,602101
1301,Mohammed Sathak A J College of Engineering Old Mahabalipuram Road OMR,Chengalpattu District,603103
1303,Anand Institute of Higher Technology Old Mahabalipuram Road OMR,Chengalpattu District,603103
1304,Easwari Engineering College Autonomous Ramapuram Chennai,Chennai  54 District,600089
1306,Jeppiaar Engineering College Old Mahabalipuram Road OMR Chennai,Chennai  55 District,600119
1309,Meenakshi Sundararajan Engineering College Kodambakkam Chennai,Chennai  57 District,600024
1310,MisrimalNavajeeMunoth Jain Engineering College Rajiv Gandhi Salai OMR,Rajiv Gandhi Salai (OMR) District,600096
1311,K C G College of Technology Autonomous Karappakkam Chennai,Chennai  59 District,600096
1313,- Shree Motilal Kanhaiyalal SMK Fomra Institute of Technology Old,Chengalpattu District,603103
1315,Sri Sivasubramaniya Nadar College of Engineering Autonomous Kalavakkam Old,Chengalpattu District,603110
1316,Agni College of Technology Old Mahabalipuram Road OMR Thalambur Village,Chengalpattu District,603103
1318,T.J Institute of Technology Karapakkam Chennai -,63 District,600097
1319,Thangavelu Engineering College Karappakkam Chennai,Chennai  64 District,600097
1322,Dhanalakshmi Srinivasan College of Engineering and Technology East Coast Road,East Coast Road District,603104
